base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
InN,B,0.056,v0,In,1,4,94.44
InN,B,0.056,v0,In,2,4,94.44
InN,B,0.056,v0,In,3,4,94.44
InN,B,0.056,v0,In,4,4,94.44
InN,B,0.056,v0,In,5,4,94.44
InN,B,0.056,v0,In,6,4,94.44
InN,B,0.056,v0,In,7,4,94.44
InN,B,0.056,v0,In,8,4,94.44
InN,B,0.056,v0,In,9,4,94.44
InN,B,0.056,v0,In,10,4,94.44
InN,B,0.056,v0,In,11,4,94.44
InN,B,0.056,v0,In,12,4,94.44
InN,B,0.056,v0,In,13,4,94.44
InN,B,0.056,v0,In,14,4,94.44
InN,B,0.056,v0,In,15,4,94.44
InN,B,0.056,v0,In,16,4,94.44
InN,B,0.056,v0,In,17,4,94.44
InN,B,0.056,v0,In,18,4,94.44
InN,B,0.056,v0,In,19,4,94.44
InN,B,0.056,v0,In,20,4,94.44
InN,B,0.056,v0,In,21,4,94.44
InN,B,0.056,v0,In,22,4,94.44
InN,B,0.056,v0,In,23,4,94.44
InN,B,0.056,v0,In,24,4,94.44
InN,B,0.056,v0,In,25,4,94.44
InN,B,0.056,v0,In,26,4,94.44
InN,B,0.056,v0,In,27,4,94.44
InN,B,0.056,v0,In,28,4,94.44
InN,B,0.056,v0,In,29,4,94.44
InN,B,0.056,v0,In,30,4,94.44
InN,B,0.056,v0,In,31,4,94.44
InN,B,0.056,v0,In,32,4,94.44
InN,B,0.056,v0,In,33,4,94.44
InN,B,0.056,v0,In,34,4,94.44
InN,B,0.056,v0,B,35,3,5.56
InN,B,0.056,v0,B,36,3,5.56
InN,B,0.056,v1,In,1,4,94.44
InN,B,0.056,v1,In,2,4,94.44
InN,B,0.056,v1,In,3,4,94.44
InN,B,0.056,v1,In,4,4,94.44
InN,B,0.056,v1,In,5,4,94.44
InN,B,0.056,v1,In,6,4,94.44
InN,B,0.056,v1,In,7,4,94.44
InN,B,0.056,v1,In,8,4,94.44
InN,B,0.056,v1,In,9,4,94.44
InN,B,0.056,v1,In,10,4,94.44
InN,B,0.056,v1,In,11,4,94.44
InN,B,0.056,v1,In,12,4,94.44
InN,B,0.056,v1,In,13,4,94.44
InN,B,0.056,v1,In,14,4,94.44
InN,B,0.056,v1,In,15,4,94.44
InN,B,0.056,v1,In,16,4,94.44
InN,B,0.056,v1,In,17,4,94.44
InN,B,0.056,v1,In,18,4,94.44
InN,B,0.056,v1,In,19,4,94.44
InN,B,0.056,v1,In,20,4,94.44
InN,B,0.056,v1,In,21,4,94.44
InN,B,0.056,v1,In,22,4,94.44
InN,B,0.056,v1,In,23,4,94.44
InN,B,0.056,v1,In,24,4,94.44
