base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
AlN,Y,0.056,v0,Al,1,4,94.44
AlN,Y,0.056,v0,Al,2,4,94.44
AlN,Y,0.056,v0,Al,3,4,94.44
AlN,Y,0.056,v0,Al,4,4,94.44
AlN,Y,0.056,v0,Al,5,4,94.44
AlN,Y,0.056,v0,Al,6,4,94.44
AlN,Y,0.056,v0,Al,7,4,94.44
AlN,Y,0.056,v0,Al,8,4,94.44
AlN,Y,0.056,v0,Al,9,4,94.44
AlN,Y,0.056,v0,Al,10,4,94.44
AlN,Y,0.056,v0,Al,11,4,94.44
AlN,Y,0.056,v0,Al,12,4,94.44
AlN,Y,0.056,v0,Al,13,4,94.44
AlN,Y,0.056,v0,Al,14,4,94.44
AlN,Y,0.056,v0,Al,15,4,94.44
AlN,Y,0.056,v0,Al,16,4,94.44
AlN,Y,0.056,v0,Al,17,4,94.44
AlN,Y,0.056,v0,Al,18,4,94.44
AlN,Y,0.056,v0,Al,19,4,94.44
AlN,Y,0.056,v0,Al,20,4,94.44
AlN,Y,0.056,v0,Al,21,4,94.44
AlN,Y,0.056,v0,Al,22,4,94.44
AlN,Y,0.056,v0,Al,23,4,94.44
AlN,Y,0.056,v0,Al,24,4,94.44
AlN,Y,0.056,v0,Al,25,4,94.44
AlN,Y,0.056,v0,Al,26,4,94.44
AlN,Y,0.056,v0,Al,27,4,94.44
AlN,Y,0.056,v0,Al,28,4,94.44
AlN,Y,0.056,v0,Al,29,4,94.44
AlN,Y,0.056,v0,Al,30,4,94.44
AlN,Y,0.056,v0,Al,31,4,94.44
AlN,Y,0.056,v0,Al,32,4,94.44
AlN,Y,0.056,v0,Al,33,4,94.44
AlN,Y,0.056,v0,Al,34,4,94.44
AlN,Y,0.056,v0,Y,35,4,5.56
AlN,Y,0.056,v0,Y,36,4,5.56
AlN,Y,0.056,v1,Al,1,4,94.44
AlN,Y,0.056,v1,Al,2,4,94.44
AlN,Y,0.056,v1,Al,3,4,94.44
AlN,Y,0.056,v1,Al,4,4,94.44
AlN,Y,0.056,v1,Al,5,4,94.44
AlN,Y,0.056,v1,Al,6,4,94.44
AlN,Y,0.056,v1,Al,7,4,94.44
AlN,Y,0.056,v1,Al,8,4,94.44
AlN,Y,0.056,v1,Al,9,4,94.44
AlN,Y,0.056,v1,Al,10,4,94.44
AlN,Y,0.056,v1,Al,11,4,94.44
AlN,Y,0.056,v1,Al,12,4,94.44
AlN,Y,0.056,v1,Al,13,4,94.44
AlN,Y,0.056,v1,Al,14,4,94.44
AlN,Y,0.056,v1,Al,15,4,94.44
AlN,Y,0.056,v1,Al,16,4,94.44
AlN,Y,0.056,v1,Al,17,4,94.44
AlN,Y,0.056,v1,Al,18,4,94.44
AlN,Y,0.056,v1,Al,19,4,94.44
AlN,Y,0.056,v1,Al,20,4,94.44
AlN,Y,0.056,v1,Al,21,4,94.44
AlN,Y,0.056,v1,Al,22,4,94.44
AlN,Y,0.056,v1,Al,23,4,94.44
AlN,Y,0.056,v1,Al,24,4,94.44
AlN,Y,0.056,v1,Al,25,4,94.44
AlN,Y,0.056,v1,Al,26,4,94.44
AlN,Y,0.056,v1,Al,27,4,94.44
AlN,Y,0.056,v1,Al,28,4,94.44
AlN,Y,0.056,v1,Al,29,4,94.44
AlN,Y,0.056,v1,Al,30,4,94.44
AlN,Y,0.056,v1,Al,31,4,94.44
AlN,Y,0.056,v1,Al,32,4,94.44
AlN,Y,0.056,v1,Al,33,4,94.44
AlN,Y,0.056,v1,Al,34,4,94.44
AlN,Y,0.056,v1,Y,35,4,5.56
AlN,Y,0.056,v1,Y,36,4,5.56
AlN,Y,0.056,v2,Al,1,4,94.44
AlN,Y,0.056,v2,Al,2,4,94.44
AlN,Y,0.056,v2,Al,3,4,94.44
AlN,Y,0.056,v2,Al,4,4,94.44
AlN,Y,0.056,v2,Al,5,4,94.44
AlN,Y,0.056,v2,Al,6,4,94.44
AlN,Y,0.056,v2,Al,7,4,94.44
AlN,Y,0.056,v2,Al,8,4,94.44
AlN,Y,0.056,v2,Al,9,4,94.44
AlN,Y,0.056,v2,Al,10,4,94.44
AlN,Y,0.056,v2,Al,11,4,94.44
AlN,Y,0.056,v2,Al,12,4,94.44
AlN,Y,0.056,v2,Al,13,4,94.44
AlN,Y,0.056,v2,Al,14,4,94.44
AlN,Y,0.056,v2,Al,15,4,94.44
AlN,Y,0.056,v2,Al,16,4,94.44
AlN,Y,0.056,v2,Al,17,4,94.44
AlN,Y,0.056,v2,Al,18,4,94.44
AlN,Y,0.056,v2,Al,19,4,94.44
AlN,Y,0.056,v2,Al,20,4,94.44
AlN,Y,0.056,v2,Al,21,4,94.44
AlN,Y,0.056,v2,Al,22,4,94.44
AlN,Y,0.056,v2,Al,23,4,94.44
AlN,Y,0.056,v2,Al,24,4,94.44
AlN,Y,0.056,v2,Al,25,4,94.44
AlN,Y,0.056,v2,Al,26,4,94.44
AlN,Y,0.056,v2,Al,27,4,94.44
AlN,Y,0.056,v2,Al,28,4,94.44
AlN,Y,0.056,v2,Al,29,4,94.44
AlN,Y,0.056,v2,Al,30,4,94.44
AlN,Y,0.056,v2,Al,31,4,94.44
AlN,Y,0.056,v2,Al,32,4,94.44
AlN,Y,0.056,v2,Al,33,4,94.44
AlN,Y,0.056,v2,Al,34,4,94.44
AlN,Y,0.056,v2,Y,35,4,5.56
AlN,Y,0.056,v2,Y,36,4,5.56
AlN,Y,0.056,v3,Al,1,4,94.44
AlN,Y,0.056,v3,Al,2,4,94.44
AlN,Y,0.056,v3,Al,3,4,94.44
AlN,Y,0.056,v3,Al,4,4,94.44
AlN,Y,0.056,v3,Al,5,4,94.44
AlN,Y,0.056,v3,Al,6,4,94.44
AlN,Y,0.056,v3,Al,7,4,94.44
AlN,Y,0.056,v3,Al,8,4,94.44
AlN,Y,0.056,v3,Al,9,4,94.44
AlN,Y,0.056,v3,Al,10,4,94.44
AlN,Y,0.056,v3,Al,11,4,94.44
AlN,Y,0.056,v3,Al,12,4,94.44
AlN,Y,0.056,v3,Al,13,4,94.44
AlN,Y,0.056,v3,Al,14,4,94.44
AlN,Y,0.056,v3,Al,15,4,94.44
AlN,Y,0.056,v3,Al,16,4,94.44
AlN,Y,0.056,v3,Al,17,4,94.44
AlN,Y,0.056,v3,Al,18,4,94.44
AlN,Y,0.056,v3,Al,19,4,94.44
AlN,Y,0.056,v3,Al,20,4,94.44
AlN,Y,0.056,v3,Al,21,4,94.44
AlN,Y,0.056,v3,Al,22,4,94.44
AlN,Y,0.056,v3,Al,23,4,94.44
AlN,Y,0.056,v3,Al,24,4,94.44
AlN,Y,0.056,v3,Al,25,4,94.44
AlN,Y,0.056,v3,Al,26,4,94.44
AlN,Y,0.056,v3,Al,27,4,94.44
AlN,Y,0.056,v3,Al,28,4,94.44
AlN,Y,0.056,v3,Al,29,4,94.44
AlN,Y,0.056,v3,Al,30,4,94.44
AlN,Y,0.056,v3,Al,31,4,94.44
AlN,Y,0.056,v3,Al,32,4,94.44
AlN,Y,0.056,v3,Al,33,4,94.44
AlN,Y,0.056,v3,Al,34,4,94.44
AlN,Y,0.056,v3,Y,35,4,5.56
AlN,Y,0.056,v3,Y,36,4,5.56
AlN,Y,0.111,v0,Y,1,4,8.33
AlN,Y,0.111,v0,Y,2,4,8.33
AlN,Y,0.111,v0,Y,3,5,2.78
AlN,Y,0.111,v0,Y,4,4,8.33
AlN,Y,0.111,v0,Al,5,4,88.89
AlN,Y,0.111,v0,Al,6,4,88.89
AlN,Y,0.111,v0,Al,7,4,88.89
AlN,Y,0.111,v0,Al,8,4,88.89
AlN,Y,0.111,v0,Al,9,4,88.89
AlN,Y,0.111,v0,Al,10,4,88.89
AlN,Y,0.111,v0,Al,11,4,88.89
AlN,Y,0.111,v0,Al,12,4,88.89
AlN,Y,0.111,v0,Al,13,4,88.89
AlN,Y,0.111,v0,Al,14,4,88.89
AlN,Y,0.111,v0,Al,15,4,88.89
AlN,Y,0.111,v0,Al,16,4,88.89
AlN,Y,0.111,v0,Al,17,4,88.89
AlN,Y,0.111,v0,Al,18,4,88.89
AlN,Y,0.111,v0,Al,19,4,88.89
AlN,Y,0.111,v0,Al,20,4,88.89
AlN,Y,0.111,v0,Al,21,4,88.89
AlN,Y,0.111,v0,Al,22,4,88.89
AlN,Y,0.111,v0,Al,23,4,88.89
AlN,Y,0.111,v0,Al,24,4,88.89
AlN,Y,0.111,v0,Al,25,4,88.89
